Kanji,StrokeCount,MeaningOne,MeaningTwo,MeaningThree,MeaningFour,MeaningFive,MeaningSix,MeaningSeven,MeaningEight,MeaningNine,MeaningTen
瑾,15,jewel,,,,,,,,,
璋,15,ceremonial,,,,,,,,,
璞,16,uncut,unpolished,,,,,,,,
璧,18,sphere,ball,,,,,,,,
瓊,18,red,beautiful,,,,,,,,
瓏,20,clarity,sound,,,,,,,,
瓔,21,jewelled,,,,,,,,,
珱,10,a,,,,,,,,,
瓣,20,petal,valve,,,,,,,,
瓧,7,ten,(kokuji),,,,,,,,
瓩,8,kilogram,(kokuji),,,,,,,,
瓮,9,jar,jug,container,,,,,,,
瓲,9,tonne,thousand,(kokuji),,,,,,,
瓰,9,decigram,(kokuji),,,,,,,,
瓱,9,milligram,(kokuji),,,,,,,,
瓸,11,hectogram,hundred,(kokuji),,,,,,,
瓷,11,high,,,,,,,,,
甄,14,porcelain,make,distinguish,,,,,,,
甃,14,floor,,,,,,,,,
甅,14,centigram,(kokuji),,,,,,,,
甌,16,small,jug,,,,,,,,
甎,16,floor,,,,,,,,,
甍,15,roof,tiled,,,,,,,,
甕,18,jar,jug,vat,,,,,,,
甓,18,floor,,,,,,,,,
甞,13,lick,lap,burn,taste,undergo,underrate,despise,,,
甦,12,be,revived,,,,,,,,
甬,7,road,,,,,,,,,
甼,7,town,block,,,,,,,,
畄,8,fasten,halt,stop,,,,,,,
畍,9,circle,world,,,,,,,,
畊,9,plow,cultivate,,,,,,,,
畉,9,till,cultivate,,,,,,,,
畛,10,boundary,,,,,,,,,
畆,9,Chinese,fields,,,,,,,,
畚,10,basket,hamper,,,,,,,,
畩,11,surplice,(kokuji),,,,,,,,
畤,11,festival,,,,,,,,,
畧,11,abbreviation,omission,outline,shorten,capture,plunder,,,,
畫,12,picture,sketch,drawing,stroke,mark,divide,,,,
畭,12,new,,,,,,,,,
畸,13,difference,strange,cripple,,,,,,,
當,13,bear,accept,undertake,just,,,,,,
疆,19,boundary,,,,,,,,,
疇,19,before,companion,same,,,,,,,
畴,12,farmland,arable,category,,,,,,,
疊,22,tatami,counter,fold,shut,do,,,,,
疉,22,repeat,duplicate,repetitious,,,,,,,
疂,16,counter,fold,,,,,,,,
疔,7,carbuncle,,,,,,,,,
疚,8,ashamed,painful,guilty,,,,,,,
疝,8,colic,stomach,,,,,,,,
疥,9,scabby,,,,,,,,,
疣,9,wart,,,,,,,,,
痂,10,scab,dry,slough,,,,,,,
疳,10,children's,,,,,,,,,
痃,10,cramps,,,,,,,,,
疵,11,crack,flaw,scratch,speck,,,,,,
疽,10,carbuncle,,,,,,,,,
疸,10,jaundice,,,,,,,,,
疼,10,ache,pain,tingle,fester,,,,,,
疱,10,smallpox,blister,,,,,,,,
痍,11,injury,,,,,,,,,
痊,11,heal,,,,,,,,,
痒,11,itchy,,,,,,,,,
痙,12,have,,,,,,,,,
痣,12,birthmark,mole,,,,,,,,
痞,12,constipation,costiveness,,,,,,,,
痾,13,chronic,,,,,,,,,
痿,13,atrophy,go,be,,,,,,,
痼,13,chronic,,,,,,,,,
瘁,13,take,fatigue,,,,,,,,
痰,13,sputum,phlegm,,,,,,,,
痺,13,palsy,become,paralysed,,,,,,,
痲,13,measles,paralysis,,,,,,,,
痳,13,gonorrhea,,,,,,,,,
瘋,14,insanity,headache,,,,,,,,
瘍,14,swelling,boil,tumor,,,,,,,
瘉,14,get,recover,,,,,,,,
瘟,15,contagious,,,,,,,,,
瘧,14,ague,intermittent,,,,,,,,
瘠,15,get,lose,become,,,,,,,
瘡,15,wound,boil,syphilis,,,,,,,
瘢,15,scar,,,,,,,,,
瘤,15,lump,swelling,,,,,,,,
瘴,16,miasma,,,,,,,,,
瘰,16,swollen,,,,,,,,,
瘻,16,fistula,,,,,,,,,
癇,17,bitter,hot,irritable,nervous,,,,,,
癈,17,chronic,getting,,,,,,,,
癆,17,rash,pain,debilitation,,,,,,,
癜,18,leucoderma,piebald,,,,,,,,
癘,17,contagious,leprosy,,,,,,,,
癡,19,foolish,,,,,,,,,
癢,20,itchy,,,,,,,,,
癨,21,heatstroke,sunstroke,,,,,,,,
癩,21,leprosy,,,,,,,,,
癪,21,spasms,(kokuji),,,,,,,,
癧,21,swollen,,,,,,,,,
癬,22,ringworm,,,,,,,,,
癰,23,boil,carbuncle,,,,,,,,
癶,5,dotted,,,,,,,,,
癸,9,10th,,,,,,,,,
發,12,departure,publish,emit,start,disclose,,,,,
皀,7,fragrant,grain,,,,,,,,
皃,7,countenance,appearance,,,,,,,,
皈,9,homecoming,arrive,lead,result,,,,,,
皋,10,the,,,,,,,,,
皎,11,white,shining,,,,,,,,
皖,12,Venus,morning,place,,,,,,,
皓,12,white,clear,,,,,,,,
皙,13,clear,,,,,,,,,
皚,15,white,,,,,,,,,
皰,10,pimple,,,,,,,,,
皴,12,wrinkles,cracking,creases,,,,,,,
皸,14,skin,,,,,,,,,
皹,14,skin,,,,,,,,,
皺,15,wrinkles,creases,folds,,,,,,,
盂,8,bowl,,,,,,,,,
盍,10,come,congregate,meet,cover,,,,,,
盖,11,cover,lid,flap,,,,,,,
盒,11,covered,,,,,,,,,
盞,13,sake,,,,,,,,,
盡,14,exhaust,use,run,deplete,befriend,serve,,,,
盥,16,tub,washbasin,,,,,,,,
盧,16,hut,,,,,,,,,
盪,17,melt,be,captivated,,,,,,,
蘯,20,to,to,to,,,,,,,
盻,9,glare,toil,,,,,,,,
眈,9,watch,,,,,,,,,
眇,9,minuteness,squint,,,,,,,,
眄,9,looking,,,,,,,,,
眩,10,faint,dizzy,,,,,,,,
眤,10,glance,gaze,,,,,,,,
眞,10,truth,reality,Buddhist,,,,,,,
眥,11,outside,,,,,,,,,
眦,11,corner,eyesockets,,,,,,,,
眛,10,dark,,,,,,,,,
眷,11,look,regard,,,,,,,,
眸,11,pupil,,,,,,,,,
睇,12,looking,,,,,,,,,
睚,13,glare,angry,,,,,,,,
睨,13,glaring,authority,power,scowl,,,,,,
睫,13,eyelashes,,,,,,,,,
睛,13,pupil,,,,,,,,,
睥,13,glare,,,,,,,,,
睿,14,intelligence,imperial,,,,,,,,
睾,14,testicles,,,,,,,,,
睹,14,look,see,,,,,,,,
瞎,15,blind,one,,,,,,,,
瞋,15,be,,,,,,,,,
瞑,15,sleep,dark,close,,,,,,,
瞠,16,stare,,,,,,,,,
瞞,16,deception,,,,,,,,,
瞰,17,look,see,,,,,,,,
瞶,17,see,,,,,,,,,
瞹,18,hidden,unclear,,,,,,,,
瞿,18,surname,,,,,,,,,
瞼,18,eyelids,,,,,,,,,
瞽,18,blind,,,,,,,,,
瞻,18,look,,,,,,,,,
矇,18,blind,,,,,,,,,
矍,20,surprise,,,,,,,,,
矗,24,luxuriance,,,,,,,,,
矚,26,look,,,,,,,,,
矜,9,pride,respect,,,,,,,,
矣,7,sentence,,,,,,,,,
矮,13,low,short,,,,,,,,
矼,8,stepping,hard,serious,,,,,,,
砌,9,time,occasion,,,,,,,,
砒,9,arsenic,,,,,,,,,
礦,20,mine,mineral,ore,,,,,,,
砠,10,stony,stony,,,,,,,,
礪,19,whetstone,polish,,,,,,,,
硅,11,silicon,,,,,,,,,
碎,13,break,smash,broken,busted,,,,,,
硴,12,oyster,(kokuji),,,,,,,,
碆,13,arrowhead,weight,,,,,,,,
硼,13,sound,boron,,,,,,,,
碚,13,mound,bud,,,,,,,,
碌,13,satisfactory,,,,,,,,,
碣,14,round,monument,,,,,,,,
碵,14,cornerstone,large,great,eminent,,,,,,
碪,14,stone,an,,,,,,,,
碯,14,agate,,,,,,,,,
磑,15,mortar,hand,,,,,,,,
磆,15,stone,,,,,,,,,
磋,15,polish,,,,,,,,,
磔,16,crucifixion,,,,,,,,,
碾,15,mortar,grind,,,,,,,,
碼,15,number,wharf,agate,yard,,,,,,
磅,15,become,pound,lb),,,,,,,
磊,15,many,,,,,,,,,
磬,16,upside-V-shaped,,,,,,,,,
磚,16,tile,,,,,,,,,
磽,17,rocky,barren,,,,,,,,
磴,17,stone,stone,,,,,,,,
礇,18,jewel,,,,,,,,,
礒,18,rock,beach,shore,,,,,,,
礑,18,bottom,base,slap,bang,all,,,,,
礙,19,obstruct,hinder,block,deter,,,,,,
礬,20,alum,,,,,,,,,
礫,20,small,,,,,,,,,
祀,8,enshrine,worship,,,,,,,,
祠,10,small,,,,,,,,,
祗,10,respectful,,,,,,,,,
祟,10,curse,haunt,,,,,,,,
祚,10,imperial,happiness,,,,,,,,
祕,10,mysterious,secret,abstruse,,,,,,,
祓,9,exorcise,,,,,,,,,
祺,13,fortunate,blessed,peace,security,,,,,,
祿,13,fief,allowance,pension,grant,happiness,,,,,
禊,14,Shinto,,,,,,,,,
禝,15,proper,,,,,,,,,
禧,17,fortunate,auspicious,,,,,,,,
齋,17,Buddhist,room,religious,worship,avoid,alike,,,,
禪,17,Zen,silent,,,,,,,,
禮,18,social,manners,courtesy,rites,,,,,,
禳,22,exorcise,drive,,,,,,,,
禹,9,name,,,,,,,,,
禺,9,long-tailed,,,,,,,,,
秉,8,take,cherish,sheaf,unit,,,,,,
秕,9,empty,chaff,,,,,,,,
秧,10,rice,seedlings,,,,,,,,
秬,10,a,,,,,,,,,
秡,10,damaged,,,,,,,,,
秣,10,fodder,,,,,,,,,
稈,12,straw,hollow,,,,,,,,
稍,12,slightly,,,,,,,,,
稘,13,straw,one,,,,,,,,
稙,13,early-maturing,,,,,,,,,
稠,13,density,,,,,,,,,
稟,13,salary,,,,,,,,,
禀,13,salary,,,,,,,,,
稱,14,call,name,brand,address,say,,,,,
稻,15,rice,,,,,,,,,
稾,15,draft,manuscript,rough,,,,,,,
稷,15,millet,,,,,,,,,
穃,15,(phantom,,,,,,,,,
穗,17,ear,head,crest,,,,,,,
穉,17,infancy,,,,,,,,,
穡,18,harvest,,,,,,,,,
穢,18,dirty,,,,,,,,,
穩,19,calm,,,,,,,,,
龝,21,autumn,,,,,,,,,
穰,22,abundance,,,,,,,,,
穹,8,sky,,,,,,,,,
穽,9,sunken,,,,,,,,,
窈,10,quiet,,,,,,,,,
窗,12,window,pane,,,,,,,,
窕,11,quiet,,,,,,,,,
窘,12,rebuke,,,,,,,,,
窖,12,cellar,,,,,,,,,
窩,14,cave,pouch,,,,,,,,
竈,21,hearth,kitchen,,,,,,,,
窰,15,brick,furnace,coal,,,,,,,
窶,16,emaciated,,,,,,,,,
竅,18,hole,cave,,,,,,,,
竄,18,flee,,,,,,,,,
窿,16,vault,dome,,,,,,,,
邃,18,deep,profound,,,,,,,,
竇,20,hole,doorway,ditch,,,,,,,
竊,22,steal,secret,private,hushed,,,,,,
竍,7,decalitre,(kokuji),,,,,,,,
竏,8,kilolitre,(kokuji),,,,,,,,
竕,9,decilitre,(kokuji),,,,,,,,
竓,9,millilitre,(kokuji),,,,,,,,
站,10,stop,halt,,,,,,,,
竚,10,stop,linger,,,,,,,,
竝,10,line,be,rank,rival,equal,,,,,
竡,11,hectolitre,(kokuji),,,,,,,,
竢,12,wait,wait,as,,,,,,,
竦,12,crouch,cower,,,,,,,,
竭,14,end,exhaust,,,,,,,,
竰,14,centilitre,(kokuji),,,,,,,,
笂,9,quiver,arrow,(kokuji),,,,,,,
笏,10,mace,baton,scepter,,,,,,,
笊,10,bamboo,,,,,,,,,
笆,10,thorny,bamboo,,,,,,,,
笳,11,reed,,,,,,,,,
笘,11,whip,cane,wooden,,,,,,,
笙,11,a,,,,,,,,,
笞,11,whip,rod,scourge,crime,,,,,,
笵,11,bamboo,law,,,,,,,,
笨,11,coarse,,,,,,,,,
笶,11,arrow,,,,,,,,,
筐,12,bamboo,,,,,,,,,
笄,10,hairpin,crossbar,metal,,,,,,,
筍,12,bamboo,,,,,,,,,
笋,10,bamboo,,,,,,,,,
筌,12,fish,weir,,,,,,,,
筅,12,bamboo,,,,,,,,,
筵,13,straw,,,,,,,,,
筥,13,round,,,,,,,,,
筴,13,insert,chopsticks,divining,plan,,,,,,
筧,13,waterpipe,flume,,,,,,,,
筰,13,bamboo,,,,,,,,,
筱,13,dwarf,diminutive,,,,,,,,
筬,13,reed,guide,,,,,,,,
筮,13,(water),,,,,,,,,
箝,14,insert,fit,attach,,,,,,,
箘,14,a,bamboo,dice,,,,,,,
箟,14,a,bamboo,dice,,,,,,,
箍,14,barrel,,,,,,,,,
箜,14,type,,,,,,,,,
箚,14,progress,,,,,,,,,
箋,14,paper,label,letter,composition,,,,,,
箒,14,broom,,,,,,,,,
箏,14,a,,,,,,,,,
筝,12,koto,,,,,,,,,
箙,14,quiver,,,,,,,,,
篋,15,box,,,,,,,,,
篁,15,bamboo,,,,,,,,,
篌,15,type,,,,,,,,,
篏,15,inlay,set,fall,rugged,,,,,,
箴,15,warning,counsel,presept,needle,,,,,,
篆,15,seal-style,,,,,,,,,
篝,16,campfire,fishing,beacon,,,,,,,
篩,16,sieve,sift,screen,,,,,,,
簑,16,a,,,,,,,,,
簔,17,straw,,,,,,,,,
篦,16,spatula,arrow,,,,,,,,
篥,16,horn,flageolet,,,,,,,,
籠,22,basket,devote,seclude,cage,coop,implied,,,,
簀,17,rough,,,,,,,,,
簇,17,group,crowd,swarm,,,,,,,
簓,17,bamboo,(kokuji),,,,,,,,
篳,17,fence,,,,,,,,,
篷,17,woven,,,,,,,,,
簗,17,weir,fish,(kokuji),,,,,,,
簍,17,bamboo,,,,,,,,,
篶,17,black,slender,,,,,,,,
簣,18,earth-carrying,,,,,,,,,
簧,18,flute,,,,,,,,,
簪,20,ornamental,,,,,,,,,
簟,18,a,round,,,,,,,,
簷,19,eaves,,,,,,,,,
簫,19,pan,flute,,,,,,,,
簽,19,label,signature,,,,,,,,
籌,20,plan,,,,,,,,,
籃,21,basket,,,,,,,,,
籔,21,thicket,bush,underbrush,grove,,,,,,
籏,20,flag,banner,,,,,,,,
籀,19,a,,,,,,,,,
籐,21,rattan,cane,,,,,,,,
籘,22,climbing,vines,cane,,,,,,,
籟,22,rattling,,,,,,,,,
籤,23,lottery,raffle,,,,,,,,
籖,21,lottery,raffle,,,,,,,,
籥,23,three-holed,,,,,,,,,
籬,25,rough-woven,bamboo,,,,,,,,
籵,8,dekametre,(kokuji),,,,,,,,
粃,10,empty,,,,,,,,,
粐,10,rice-bran,,,,,,,,,
粤,12,alas,,,,,,,,,
粭,12,chaff,rice,(kokuji),,,,,,,
粢,12,millet,rice,,,,,,,,
粫,12,nonglutinous,,,,,,,,,
粡,12,unpolished,,,,,,,,,
粨,12,hectometre,(kokuji),,,,,,,,
粳,13,ordinary,,,,,,,,,
粲,13,bright,,,,,,,,,
粱,13,high,,,,,,,,,
粮,13,food,provisions,,,,,,,,
粹,14,pure,unadulterated,select,,,,,,,
粽,14,rice,,,,,,,,,
糀,13,malt,(kokuji),,,,,,,,
糅,15,mix,,,,,,,,,
糂,15,mixing,,,,,,,,,
糘,16,chaff,rice,(kokuji),,,,,,,
糒,16,dried,,,,,,,,,
糜,17,be,,,,,,,,,
糢,16,rice,,,,,,,,,
鬻,22,sell,deal,rice,,,,,,,
糯,20,glutinous,,,,,,,,,
糲,20,unpolished,,,,,,,,,
糴,22,sell,auction,,,,,,,,
糶,25,auction,,,,,,,,,
糺,7,ask,investigate,verify,twist,,,,,,
紆,9,crouch,,,,,,,,,
紜,10,disorder,confusion,,,,,,,,
紕,10,braiding,decoration,error,,,,,,,
紊,10,disturb,,,,,,,,,
絅,11,thin,,,,,,,,,
絋,11,cotton,,,,,,,,,
紮,11,tie,,,,,,,,,
紲,11,fetters,,,,,,,,,
紿,11,deceive,,,,,,,,,
紵,11,flax,linen,,,,,,,,
絆,11,bonds,fetters,,,,,,,,
絳,13,red,,,,,,,,,
絖,12,white,,,,,,,,,
絎,12,blindstitch,,,,,,,,,
絲,12,thread,,,,,,,,,
絨,12,wool,,,,,,,,,
絮,12,cotton,,,,,,,,,
絏,12,tie,,,,,,,,,
絣,12,splashed,,,,,,,,,
經,13,classic,pass,,,,,,,,
綉,13,embroidery,,,,,,,,,
絛,13,braid,,,,,,,,,
綏,13,peaceful,cheap,grab,,,,,,,
絽,13,silk,,,,,,,,,
綛,13,splashed,reel,skein,(kokuji),,,,,,
綺,14,figured,beautiful,,,,,,,,
綮,14,emblem,,,,,,,,,
綣,14,attachment,affection,,,,,,,,
綵,14,colorful,,,,,,,,,
緇,14,black,priest,,,,,,,,
綽,14,loose,lenient,,,,,,,,
綫,14,thread,line,,,,,,,,
總,17,collect,overall,altogether,,,,,,,
綢,14,be,tie,detailed,fine,,,,,,
綯,14,twist,make,,,,,,,,
緜,15,cotton,,,,,,,,,
綸,14,thread,silk,,,,,,,,
綟,13,yellowish,coarse,,,,,,,,
綰,14,bend,,,,,,,,,
緘,15,shut,seal,,,,,,,,
緝,15,spin,bring,shine,,,,,,,
緤,15,leash,,,,,,,,,
緞,15,damask,,,,,,,,,
緻,16,fine,,,,,,,,,
緲,15,faint,far,,,,,,,,
緡,15,paper,,,,,,,,,
縅,15,the,(kokuji),,,,,,,,
縊,16,strangle,,,,,,,,,
縣,16,county,district,subdivision,,,,,,,
縡,16,breath,life,,,,,,,,
縒,16,twist,,,,,,,,,
縱,17,indulge,give,,,,,,,,
縟,16,decoration,,,,,,,,,
縉,16,thin,high,,,,,,,,
縋,15,cling,hang,depend,,,,,,,
縢,16,cross-stitch,darn,,,,,,,,
繆,17,error,wrap,,,,,,,,
繦,17,string,child's,nappy,,,,,,,
縻,17,rope,,,,,,,,,
縵,17,unpatterned,loose,,,,,,,,
縹,17,light,,,,,,,,,
繃,17,wrap,,,,,,,,,
縷,17,thread,,,,,,,,,
縲,17,tie,,,,,,,,,
縺,17,tangle,knot,fasten,fetter,,,,,,
繧,18,a,,,,,,,,,
繝,18,a,,,,,,,,,
繖,18,parasol,umbrella,,,,,,,,
繞,18,surround,return,,,,,,,,
繙,18,peruse,,,,,,,,,
繚,18,put,twist,,,,,,,,
繹,19,pull,,,,,,,,,
繪,19,picture,drawing,painting,sketch,,,,,,
繩,19,rope,cord,,,,,,,,
繼,20,succeed,inherit,patch,graft,,,,,,
繻,20,satin,,,,,,,,,
纃,20,splashed,(kokuji),,,,,,,,
緕,14,splashed,,,,,,,,,
繽,20,disorder,scattering,,,,,,,,
辮,20,braid,,,,,,,,,
繿,21,rags,,,,,,,,,
纈,21,tie-dyeing,purblind,,,,,,,,
纉,21,succeed,inherit,,,,,,,,
續,21,continue,carry,succeed,,,,,,,
纒,22,wear,wrap,tie,follow,collect,,,,,
纐,21,tie-dyeing,(kokuji),,,,,,,,
纓,23,crown,breast,,,,,,,,
纔,23,a,,,,,,,,,
纖,23,fine,slender,thin,,,,,,,
纎,21,fine,delicate,minute,graceful,,,,,,
纛,25,flag,banner,,,,,,,,
纜,28,hawser,,,,,,,,,
缸,9,urn,,,,,,,,,
缺,10,lack,gap,fail,,,,,,,
罌,20,vase,,,,,,,,,
罍,21,liquor,,,,,,,,,
罎,22,bottle,vial,jar,,,,,,,
罐,23,steam,,,,,,,,,
网,6,net,net,,,,,,,,
罕,7,bird-catching,rare,,,,,,,,
罔,8,net,,,,,,,,,
罘,9,rabbit,,,,,,,,,
罟,10,net,,,,,,,,,
罠,10,trap,snare,,,,,,,,
罨,13,cover,,,,,,,,,
罩,13,fish,,,,,,,,,
罧,13,luring,,,,,,,,,
罸,15,punishment,penalty,,,,,,,,
羂,18,trap,snare,,,,,,,,
羆,19,brown,,,,,,,,,
羃,18,power,exponent,,,,,,,,
羈,24,reins,connection,,,,,,,,
羇,22,reins,,,,,,,,,
羌,8,barbarian,,,,,,,,,
羔,10,lamb,,,,,,,,,
羞,11,feel,,,,,,,,,
羝,11,male,ram,,,,,,,,
羚,11,antelope,,,,,,,,,
羣,13,group,crowd,multitude,mob,,,,,,
羯,15,barbarian,,,,,,,,,
羲,16,used,,,,,,,,,
羹,19,hot,,,,,,,,,
羮,15,hot,,,,,,,,,
羶,19,smelling,,,,,,,,,
羸,19,thin,weak,,,,,,,,
譱,20,virtuous,good,goodness,,,,,,,
翅,10,(insect),fly,merely,,,,,,,
翆,10,color,kingfisher,,,,,,,,
翊,11,flying,assist,help,respect,,,,,,
翕,12,gather,,,,,,,,,
翔,12,soar,fly,,,,,,,,
翡,14,kingfisher,,,,,,,,,
翦,15,scissors,cut,clip,annihilate,,,,,,
翩,15,fluttering,,,,,,,,,
翳,17,hold,,,,,,,,,
翹,18,excellence,,,,,,,,,
飜,21,flip,upset,capsize,,,,,,,
耆,10,senility,,,,,,,,,
耄,10,senility,,,,,,,,,
耋,12,old,elderly,,,,,,,,
耒,6,come,plough,three-branch,,,,,,,
耘,10,weed,,,,,,,,,
耙,10,forked,,,,,,,,,
耜,11,plough,,,,,,,,,
耡,13,plough,spade,,,,,,,,
耨,16,hoe,,,,,,,,,
耿,10,light,,,,,,,,,
耻,10,shame,humiliation,ashamed,,,,,,,
聊,11,slightly,,,,,,,,,
聆,11,listening,realizing,,,,,,,,
聒,12,noisy,,,,,,,,,
聘,13,invite,,,,,,,,,
聚,14,assemble,,,,,,,,,
聟,14,son-in-law,,,,,,,,,
聢,14,certainly,(kokuji),,,,,,,,
聨,15,party,gang,clique,,,,,,,
聳,17,rise,tower,,,,,,,,
聲,17,sound,voice,noise,tone,music,,,,,
聰,17,wise,fast,,,,,,,,
聶,18,whisper,,,,,,,,,
聹,20,noisy,earwax,,,,,,,,
聽,22,careful,headstrong,,,,,,,,
聿,6,brush,finally,self,relate,follow,here,fast,writing,,
肄,13,learn,striving,effort,,,,,,,
肆,13,four,,,,,,,,,
肅,13,quietly,softly,solemnly,,,,,,,
肛,7,anus,,,,,,,,,
肓,7,interior,,,,,,,,,
肚,7,belly,stomach,,,,,,,,
肭,8,new,,,,,,,,,
冐,8,risk,brave,dare,face,defy,(diseases),damage,desecrate,assume,
肬,8,wart,tumor,goiter,papule,,,,,,
胛,9,shoulder,,,,,,,,,
胥,9,together,mutual,subordinate,,,,,,,
胙,9,offerings,,,,,,,,,
胝,9,chap,crack,callus,,,,,,,
胄,9,lineage,bloodline,,,,,,,,
胚,9,embryo,,,,,,,,,
胖,9,half,ribs,abundant,plentiful,,,,,,
脉,9,vein,ore),pulse,hope,,,,,,
胯,10,crotch,,,,,,,,,
胱,10,bladder,,,,,,,,,
脛,11,leg,shin,,,,,,,,
脩,11,dried,,,,,,,,,
脣,11,lip,,,,,,,,,
脯,11,dried,,,,,,,,,
腋,12,armpit,side,,,,,,,,
腆,12,much,abundant,kind,considerate,,,,,,
脾,12,spleen,,,,,,,,,
腓,12,calf,,,,,,,,,
腑,12,viscera,bowels,,,,,,,,
胼,10,callus,corn,,,,,,,,
腱,13,tendon,,,,,,,,,
腮,13,jaw,,,,,,,,,
腥,13,bloody,smelling,raw,,,,,,,
腦,13,brain,memory,,,,,,,,
腴,13,fat,grease,growing,,,,,,,
膃,14,fat,corpulent,,,,,,,,
膈,14,diaphragm,,,,,,,,,
膊,14,arm,,,,,,,,,
膀,14,bladder,,,,,,,,,
膂,14,backbone,,,,,,,,,
膠,15,glue,isinglass,,,,,,,,
膕,15,hollow,,,,,,,,,
膤,15,snow,(kokuji),,,,,,,,
膣,15,vagina,,,,,,,,,
腟,13,vagina,,,,,,,,,
膓,15,guts,bowels,intestines,viscera,,,,,,
膩,16,smooth,oily,,,,,,,,
膰,16,offerings,,,,,,,,,
膵,15,pancreas,(kokuji),,,,,,,,
膾,17,raw,,,,,,,,,
膸,17,marrow,pith,,,,,,,,
膽,17,gall,bravery,courage,,,,,,,
臀,17,buttocks,hips,butt,rear,,,,,,
臂,17,elbow,,,,,,,,,
膺,17,breast,strike,,,,,,,,
臉,17,area,face,,,,,,,,
臍,18,navel,,,,,,,,,
臑,18,leg,shin,,,,,,,,
臙,20,rouge,,,,,,,,,
臘,19,12th,,,,,,,,,
臈,16,year-end,dried,,,,,,,,
臚,20,skin,tell,report,,,,,,,
臟,22,viscera,bowels,,,,,,,,
臠,25,witness,,,,,,,,,
臧,15,good,bribe,servant,,,,,,,
臺,14,stand,counter,,,,,,,,
臻,16,arrive,reach,gather,,,,,,,
臾,9,a,urging,,,,,,,,
舁,9,bear,carry,,,,,,,,
舂,11,pound,sink,set,,,,,,,
舅,13,father-in-law,,,,,,,,,
與,13,participate,give,award,impart,provide,cause,,,,
舊,17,old,old,old,former,ex-,,,,,
舍,8,inn,hut,house,mansion,,,,,,
舐,10,lick,lap,burn,taste,undergo,underrate,despise,,,
舖,15,shop,store,,,,,,,,
舩,10,boat,ship,vessel,,,,,,,
舫,10,moor,berth,,,,,,,,
舸,11,large,,,,,,,,,
舳,11,bow,prow,,,,,,,,
艀,13,sampan,lighter,barge,,,,,,,
艙,16,hold,,,,,,,,,
艘,16,counter,,,,,,,,,
艝,17,sled,sleigh,(kokuji),,,,,,,
艚,17,boat,,,,,,,,,
艟,18,fighting,,,,,,,,,
艤,19,landing,,,,,,,,,
艢,19,bow,stern,,,,,,,,
艨,19,fighting,,,,,,,,,
艪,21,oar,tower,,,,,,,,
艫,22,stern,,,,,,,,,
舮,10,bow,,,,,,,,,
艱,17,difficult,trying,be,parent's,mourning,perilous,,,,
艷,24,luster,glaze,polish,charm,colorful,captivating,,,,
艸,6,grass,plants,grass,,,,,,,
艾,5,moxa,sagebrush,wormwood,mugwort,,,,,,
芍,6,peony,,,,,,,,,
芒,6,pampas,beard,,,,,,,,
芫,7,type,,,,,,,,,
芟,7,cut,clip,trim,harvest,mow,,,,,
芻,10,grass,hay,,,,,,,,
芬,7,perfume,,,,,,,,,
苡,8,adlay,plantain,,,,,,,,
苣,8,torch,,,,,,,,,
苟,8,any,at,in,,,,,,,
苒,8,flourishing,luxuriant,,,,,,,,
苴,8,husk,bract,straw,souvenir,bribe,,,,,
苳,8,butterbur,bog,,,,,,,,
苺,8,strawberry,,,,,,,,,
莓,10,wild,,,,,,,,,
范,8,bee,law,casting,,,,,,,
苻,8,kudzu-like,,,,,,,,,
苹,8,duckweed,mugwort,,,,,,,,
苞,8,husk,bract,straw,souvenir,bribe,,,,,
茆,8,garden,farm,yard,,,,,,,
苜,8,clover,medic,,,,,,,,
茉,8,jasmine,,,,,,,,,
苙,8,type,pigsty,,,,,,,,
茴,9,fennel,,,,,,,,,
茖,9,mountain,garlic,,,,,,,,
茲,9,here,,,,,,,,,
茱,9,river,oleaster,,,,,,,,
荀,9,type,proper,,,,,,,,
茹,9,boil,seethe,,,,,,,,
荐,9,mat,repeatedly,,,,,,,,
荅,9,adzuki,thick,,,,,,,,
茯,9,type,,,,,,,,,
茫,9,wide,extensive,,,,,,,,
茗,9,tea,,,,,,,,,
茘,9,scallion,small,,,,,,,,
莅,10,proceed,assume,,,,,,,,
莚,10,straw,,,,,,,,,
莪,10,type,,,,,,,,,
莟,10,bud,,,,,,,,,
莢,10,pod,hull,husk,shell,case,,,,,
莖,10,stem,stalk,,,,,,,,
茣,10,mat,matting,,,,,,,,
莎,10,sedge,,,,,,,,,
莇,10,Chinese,tilling,corvee,surname,,,,,,
莊,10,broom,,,,,,,,,
荼,10,a,,,,,,,,,
莵,10,dodder,,,,,,,,,
荳,10,bean,nutmeg,,,,,,,,
荵,10,hare's,,,,,,,,,
莠,10,appears,type,,,,,,,,
莉,10,jasmine,,,,,,,,,
莨,10,tobacco,,,,,,,,,
菴,11,hermitage,,,,,,,,,
萓,11,day,,,,,,,,,
菫,11,the,,,,,,,,,
菎,11,a,,,,,,,,,
菽,11,beans,,,,,,,,,
萃,11,collect,gather,assemble,,,,,,,
菘,11,type,,,,,,,,,
萋,11,luxuriant,beautiful,,,,,,,,
菁,11,turnip,,,,,,,,,
菷,11,broom,,,,,,,,,
萇,11,type,,,,,,,,,
菠,11,spinach,,,,,,,,,
菲,11,thin,inferior,,,,,,,,
萍,11,floating,,,,,,,,,
